2025-03-09 02:41:32 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1d10h12m25s512ms403µs300ns).
2025-03-09 02:43:46 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-03-09 02:43:46 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-03-09 14:12:52 [main] INFO  o.e.test_orm.TestOrmApplication - Starting TestOrmApplication using Java 17.0.12 with PID 11756 (C:\Users\user\Desktop\Projects\Estet_Dent_CRM\target\classes started by user in C:\Users\user\Desktop\Projects\Estet_Dent_CRM)
2025-03-09 14:12:52 [main] INFO  o.e.test_orm.TestOrmApplication - No active profile set, falling back to 1 default profile: "default"
2025-03-09 14:12:56 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-03-09 14:12:56 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-03-09 14:12:56 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
2025-03-09 14:12:56 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-03-09 14:12:56 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-03-09 14:12:57 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@2d913116
2025-03-09 14:12:57 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-03-09 14:13:02 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
2025-03-09 14:13:02 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-03-09 14:13:02 [main] INFO  o.e.test_orm.TestOrmApplication - Started TestOrmApplication in 10.913 seconds (process running for 13.928)
2025-03-09 14:13:51 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
